HospitalName,Address,District,,
CHC - Saravana medical center,"204 Palayakottai road,Kangayem,Kangayem,Kangeyam",Tiruppur,,
 CCC - Semmipalayam,,Tiruppur,,
" CHC - Sowmiya Hospital, Perumanallur",,Tiruppur,,
" CCC - Sowmiya Hospital, Perumanallur Tiruppur TN.","Sowmiya Hospital,Avinashi",Tiruppur,,
"CHC - Sri Karunambikai Hospital, Avinashi","12/57 cheyur road Avinashi ,Opposite to GH,Avinashi",Tiruppur,,
"CHC - Sri Kumaran Hospital, Tirupur TN.","774, P.N.Road,Near New Bus Stand,Tiruppur,Tiruppur North",Tiruppur,,
" CHC - Sri Kuppusamy Hospital, Vellakovil",,Tiruppur,,
 CCC - Sri kuppusamy hospital Tiruppur TN.,,Tiruppur,,
" CHC - T.M.F Hospital, Sabapathipuram, Tirupur",,Tiruppur,,
CCC - TIRUPPUR SEVA SAMITI,"COLLEGE ROAD,TIRUPPUR,Tiruppur,Tiruppur South",Tiruppur,,
 CCC - Thayampalayam,,Tiruppur,,
CHO - Tiruppur MCH,"Govt Head Quarters Hospital,DHARAPURAM MAIN ROAD,Tiruppur,Tiruppur South",Tiruppur,,
"CHO - Tirupur Chest Hospital, Kumar Nagar","28/96, J.G NAGAR,60 FEET MAIN ROAD,TIRUPUR, 641603,28/96, J.G NAGAR,60 FEET MAIN ROAD,TIRUPUR, 641603,KUMAR NAGAR,Tiruppur North",Tiruppur,,
" CCC - Udhayam Childrens Clinic, Vidyalayam, Tirupur",,Tiruppur,,
